state,pc1,pc2,pc3,shape,color
color,4.661945653763739,-1.807280476670222,1.2004806234213715e-16,0.0,0.0
color,4.672718223553203,-0.7002084277362541,0.07065269747659783,0.0,0.167
color,4.6834262869367445,0.4002344472520014,0.14088232490842548,0.0,0.333
color,4.6941988567262065,1.5073064961859695,0.2115350223850232,0.0,0.5
color,4.704971426515674,2.6143785451199375,0.2821877198616206,0.0,0.667
color,4.7156794898992125,3.7148214201081915,0.3524173472934482,0.0,0.833
color,4.72645205968868,4.82189346904216,0.4230700447700462,0.0,1.0
color,3.0590865072172924,-3.298090039968607,0.10795417722932436,0.167,0.0
color,3.0698590770067598,-2.1910179910346383,0.17860687470592201,0.167,0.167
color,3.0805671403902966,-1.0905751160463828,0.24883650213774924,0.167,0.333
color,3.0913397101797626,0.01649693288758508,0.3194891996143469,0.167,0.5
color,3.1021122799692273,1.1235689818215546,0.39014189709094493,0.167,0.667
color,3.112820343352768,2.224011856809808,0.4603715245227726,0.167,0.833
color,3.1235929131422333,3.3310839057437738,0.5310242219993698,0.167,1.0
color,1.465825319632205,-4.779972599893945,0.21526192225967064,0.333,0.0
color,1.4765978894216694,-3.6729005509599757,0.28591461973626736,0.333,0.167
color,1.4873059528052106,-2.5724576759717204,0.3561442471680953,0.333,0.333
color,1.4980785225946749,-1.4653856270377543,0.4267969446446925,0.333,0.5
color,1.5088510923841403,-0.35831357810378484,0.4974496421212903,0.333,0.667
color,1.51955915576768,0.7421292968844678,0.5676792695531185,0.333,0.833
color,1.5303317255571451,1.8492013458184373,0.6383319670297166,0.333,1.0
color,-0.13703382691424087,-6.270782163192331,0.3232160994889938,0.5,0.0
color,-0.12626125712477623,-5.163710114258362,0.39386879696559146,0.5,0.167
color,-0.11555319374123577,-4.063267239270106,0.4640984243974187,0.5,0.333
color,-0.1047806239517699,-2.9561951903361376,0.5347511218740172,0.5,0.5
color,-0.09400805416230612,-1.849123141402171,0.6054038193506145,0.5,0.667
color,-0.08329999077876515,-0.7486802664139145,0.6756334467824423,0.5,0.833
color,-0.07252742098929921,0.35839178252005444,0.7462861442590402,0.5,1.0
color,-1.7398929734606845,-7.761591726490708,0.43117027671831853,0.667,0.0
color,-1.7291204036712209,-6.654519677556741,0.5018229741949148,0.667,0.167
color,-1.7184123402876805,-5.5540768025684875,0.5720526016267438,0.667,0.333
color,-1.7076397704982154,-4.4470047536345225,0.6427052991033402,0.667,0.5
color,-1.6968672007087542,-3.339932704700555,0.7133579965799389,0.667,0.667
color,-1.6861591373252105,-2.2394898297122974,0.7835876240117666,0.667,0.833
color,-1.6753865675357449,-1.1324177807783309,0.8542403214883637,0.667,1.0
color,-3.333154161045774,-9.24347428641605,0.5384780217486642,0.833,0.0
color,-3.3223815912563097,-8.136402237482086,0.609130719225262,0.833,0.167
color,-3.3116735278727707,-7.035959362493829,0.6793603466570886,0.833,0.333
color,-3.3009009580833024,-5.928887313559861,0.7500130441336866,0.833,0.5
color,-3.2901283882938417,-4.821815264625895,0.8206657416102847,0.833,0.667
color,-3.2794203249102996,-3.7213723896376396,0.8908953690421114,0.833,0.833
color,-3.268647755120832,-2.614300340703665,0.9615480665187085,0.833,1.0
color,-4.93601330759222,-10.734283849714435,0.6464321989779876,1.0,0.0
color,-4.925240737802757,-9.627211800780467,0.7170848964545847,1.0,0.167
color,-4.914532674419216,-8.526768925792215,0.7873145238864132,1.0,0.333
color,-4.903760104629752,-7.4196968768582465,0.8579672213630114,1.0,0.5
color,-4.892987534840287,-6.312624827924276,0.928619918839608,1.0,0.667
color,-4.8822794714567435,-5.21218195293602,0.9988495462714353,1.0,0.833
color,-4.871506901667276,-4.105109904002053,1.0695022437480337,1.0,1.0
shape,4.661945653763739,-1.807280476670222,1.2004806234213715e-16,0.0,0.0
shape,4.380196257337908,-0.5932305700773316,0.06638736820512495,0.0,0.167
shape,4.1001339830463674,0.613549576595841,0.13237720725932037,0.0,0.333
shape,3.8183845866205357,1.8275994831887314,0.19876457546444576,0.0,0.5
shape,3.5366351901947093,3.0416493897816217,0.26515194366956935,0.0,0.667
shape,3.256572915903165,4.248429536454794,0.3311417827237657,0.0,0.833
shape,2.974823519477337,5.462479443047686,0.39752915092889135,0.0,1.0
shape,3.9573551634026916,-2.656277521254675,-0.14019677573020878,0.167,0.0
shape,3.675605766976862,-1.4422276146617852,-0.07380940752508397,0.167,0.167
shape,3.3955434926853183,-0.23544746798861288,-0.007819568470888553,0.167,0.333
shape,3.113794096259491,0.978602438604277,0.05856779973423636,0.167,0.5
shape,2.832044699833662,2.19265234519717,0.12495516793936122,0.167,0.667
shape,2.5519824255421195,3.3994324918703405,0.19094500699355613,0.167,0.833
shape,2.2702330291162895,4.61348239846323,0.2573323751986813,0.167,1.0
shape,3.2569837777743436,-3.500190751200898,-0.27955404980933835,0.333,0.0
shape,2.9752343813485145,-2.2861408446080067,-0.21316668160421356,0.333,0.167
shape,2.6951721070569725,-1.0793606979348351,-0.14717684255001826,0.333,0.333
shape,2.413422710631142,0.1346892086580548,-0.08078947434489352,0.333,0.5
shape,2.1316733142053144,1.3487391152509454,-0.01440210613976885,0.333,0.667
shape,1.851611039913771,2.5555192619241143,0.05158773291442677,0.333,0.833
shape,1.5698616434879447,3.76956916851701,0.11797510111955245,0.333,1.0
shape,2.552393287413295,-4.349187795785351,-0.4197508255395472,0.5,0.0
shape,2.2706438909874667,-3.1351378891924617,-0.3533634573344229,0.5,0.167
shape,1.990581616695924,-1.9283577425192884,-0.28737361828022673,0.5,0.333
shape,1.7088322202700958,-0.7143078359263982,-0.22098625007510245,0.5,0.5
shape,1.4270828238442668,0.49974207066649146,-0.15459888186997725,0.5,0.667
shape,1.1470205495527244,1.7065222173396644,-0.08860904281578126,0.5,0.833
shape,0.865271153126895,2.920572123932557,-0.022221674610656796,0.5,1.0
shape,1.8478027970522466,-5.198184840369803,-0.5599476012697558,0.667,0.0
shape,1.5660534006264173,-3.984134933776913,-0.49356023306463115,0.667,0.167
shape,1.2859911263348753,-2.777354787103742,-0.4275703940104357,0.667,0.333
shape,1.0042417299090467,-1.5633048805108527,-0.36118302580531136,0.667,0.5
shape,0.7224923334832191,-0.349254973917962,-0.2947956576001867,0.667,0.667
shape,0.442430059191675,0.8575251727552088,-0.22880581854599033,0.667,0.833
shape,0.1606806627658472,2.0715750793481007,-0.16241845034086594,0.667,1.0
shape,1.1474314114238997,-6.042098070316027,-0.6993048753488852,0.833,0.0
shape,0.8656820149980716,-4.828048163723137,-0.6329175071437614,0.833,0.167
shape,0.5856197407065287,-3.6212680170499634,-0.5669276680895654,0.833,0.333
shape,0.3038703442807006,-2.4072181104570727,-0.5005402998844408,0.833,0.5
shape,0.022120947854870492,-1.1931682038641835,-0.4341529316793162,0.833,0.667
shape,-0.2579413264366701,0.013611942808988132,-0.3681630926251211,0.833,0.833
shape,-0.5396907228625003,1.2276618494018787,-0.3017757244199966,0.833,1.0
shape,0.44284092106285183,-6.891095114900478,-0.8395016510790949,1.0,0.0
shape,0.16109152463702414,-5.67704520830759,-0.77311428287397,1.0,0.167
shape,-0.11897074965451843,-4.470265061634416,-0.7071244438197745,1.0,0.333
shape,-0.4007201460803479,-3.2562151550415246,-0.6407370756146501,1.0,0.5
shape,-0.6824695425061765,-2.042165248448638,-0.5743497074095257,1.0,0.667
shape,-0.9625318167977178,-0.8353851017754625,-0.5083598683553295,1.0,0.833
shape,-1.2442812132235468,0.37866480481742426,-0.441972500150205,1.0,1.0
