range,impr_color_deg,impr_shape_deg,impr_color_shuf_mean_or_single,impr_shape_shuf_mean_or_single,impr_color_shuf_sem,impr_shape_shuf_sem
0.02,1.4209120346890103,2.2978333239973097,0.31134593870577304,0.7519832679493319,0.02796451471924921,0.05232960327529947
0.04,2.693582849781226,4.341206585357625,0.633751890045949,1.4806947911813395,0.05828605708629707,0.09950259840278386
0.06,3.9314518576047526,6.196316987494754,0.9968299473318626,2.240727628379313,0.10047289200975504,0.14028343020573553
0.08,5.284342579321676,7.923276226979439,1.4379667186656124,3.08753447118944,0.15689746642892588,0.17408469225626047
0.1,6.942411794205417,9.552013318277645,1.9853008283737956,4.041279642103898,0.22633938879148646,0.2017295804892067
0.14,11.705010958929893,12.607322049087486,3.4424519985936053,6.142151009966724,0.3956888974839588,0.25132866184753855
0.18,18.090670921541122,15.599133439750418,5.349115400776996,8.102433588382983,0.5784392388732407,0.31705327471605177
0.22,24.827140777026976,18.616666464479408,7.43205139529862,9.57684150932309,0.7408001386649703,0.40679666856975405
0.26,30.68754283739481,21.683661060747013,9.273172724736622,10.458380998106515,0.8862089067124862,0.5100862522051206
0.3,34.49639419488771,24.577561852521697,10.659076567378424,10.313090945355505,1.0653807991877415,0.6400178048840713
0.34,36.148194758493794,26.858518963127366,11.574131230191595,9.540840414231965,1.232382697119395,0.7759377539000483
0.4,36.37955271152089,29.845644805707266,12.412766890087653,7.597190411358298,1.5249213100942696,0.9559068364451587
0.4641,36.65077082277869,41.683288141015204,12.78789769190779,8.354578840387042,1.9263756242252532,1.2475188624074236
