state,pc1,pc2,pc3,shape,color
color,-4.661945653763752,-1.807280476670196,2.3735254822137454e-17,0.0,0.0
color,-4.270777986793104,-0.6258834071753332,0.029538204165092497,0.0,0.167
color,-3.8819526411815626,0.5484394283704581,0.05889953285614228,0.0,0.333
color,-3.4907849742109143,1.7298364978653213,0.08843773702123517,0.0,0.5
color,-3.0996173072402673,2.9112335673601857,0.11797594118632743,0.0,0.667
color,-2.7107919616287246,4.085556402905973,0.14733726987737705,0.0,0.833
color,-2.3196242946580763,5.266953472400838,0.1768754740424703,0.0,1.0
color,-3.522732487651573,-2.318784110823422,-0.0018856915582631257,0.167,0.0
color,-3.131564820680925,-1.1373870413285592,0.027652512606829417,0.167,0.167
color,-2.7427394750693828,0.0369357942172317,0.05701384129787931,0.167,0.333
color,-2.351571808098735,1.2183328637120943,0.08655204546297167,0.167,0.5
color,-1.9604041411280884,2.3997299332069586,0.11609024962806423,0.167,0.667
color,-1.5715787955165457,3.574052768752746,0.14545157831911393,0.167,0.833
color,-1.1804111285459,4.755449838247614,0.17498978248420552,0.167,1.0
color,-2.3903409572646153,-2.827224848963754,-0.003760091550309137,0.333,0.0
color,-1.9991732902939687,-1.6458277794688914,0.025778112614783313,0.333,0.167
color,-1.6103479446824247,-0.4715049439230987,0.0551394413058333,0.333,0.333
color,-1.21918027771178,0.7098921255717638,0.08467764547092586,0.333,0.5
color,-0.8280126107411308,1.8912891950666266,0.11421584963601802,0.333,0.667
color,-0.43918726512958806,3.0656120306124164,0.14357717832706784,0.333,0.833
color,-0.04801959815894108,4.247009100107277,0.1731153824921608,0.333,1.0
color,-1.2511277911524377,-3.338728483116979,-0.005645783108572623,0.5,0.0
color,-0.8599601241817898,-2.1573314136221167,0.023892421056519852,0.5,0.167
color,-0.47113477857024666,-0.983008578076325,0.05325374974756969,0.5,0.333
color,-0.07996711159960057,0.1983884914185372,0.08279195391266266,0.5,0.5
color,0.31120055537104463,1.3797855609134009,0.11233015807775398,0.5,0.667
color,0.7000259009825882,2.554108396459191,0.14169148676880494,0.5,0.833
color,1.091193567953236,3.735505465954054,0.17122969093389684,0.5,1.0
color,-0.11191462504025829,-3.8502321172702043,-0.0075314746668352205,0.667,0.0
color,0.2792530419303896,-2.6688350477753437,0.022006729498257275,0.667,0.167
color,0.6680783875419305,-1.4945122122295509,0.051368058189306724,0.667,0.333
color,1.0592460545125792,-0.3131151427346879,0.08090626235439939,0.667,0.5
color,1.450413721483229,0.8682819267601734,0.11044446651949193,0.667,0.667
color,1.8392390670947663,2.042604762305965,0.13980579521054193,0.667,0.833
color,2.2304067340654203,3.2240018318008277,0.16934399937563246,0.667,1.0
color,1.0204769053466984,-4.358672855410539,-0.009405874658881654,0.833,0.0
color,1.4116445723173463,-3.1772757859156737,0.020132329506211185,0.833,0.167
color,1.800469917928889,-2.002952950369883,0.04949365819726159,0.833,0.333
color,2.1916375848995324,-0.8215558808750197,0.0790318623623527,0.833,0.5
color,2.582805251870182,0.3598411886198434,0.10857006652744587,0.833,0.667
color,2.971630597481723,1.5341640241656351,0.13793139521849598,0.833,0.833
color,3.362798264452371,2.7155610936604964,0.16746959938358835,0.833,1.0
color,2.1596900714588765,-4.870176489563762,-0.011291566217145268,1.0,0.0
