range,impr_color_deg,impr_shape_deg,impr_color_shuf_mean_or_single,impr_shape_shuf_mean_or_single,impr_color_shuf_sem,impr_shape_shuf_sem
0.02,1.4624680956870044,2.115005515768914,0.2891157411177288,0.5373829377707176,0.029885156198144892,0.04950197715910246
0.04,2.628559332303137,3.7785892044954323,0.5293870794459076,1.04739521720821,0.05240056688120157,0.09506495078302557
0.06,3.5916922656981676,5.160510677018181,0.7104051331712286,1.5349010295388124,0.07171776181369773,0.1371133013725527
0.08,4.503314012595229,6.37706159384075,0.8805249598483621,2.0059807100878007,0.09325175461130235,0.1746971129242937
0.1,5.754262751578554,8.331917120789925,0.9209524778627776,3.6626878607389064,0.17082275834124236,0.19381797839125703
0.14,7.619829219387441,9.547457618011407,1.5257035269122852,3.2963932316753484,0.1948192940179075,0.2732059912558307
0.18,10.144642762941,11.327376693609438,2.2028476732281934,4.055187251288843,0.30537175715356824,0.3423278154454874
0.22,12.312864203889458,12.6347944661552,3.225113237659465,4.729544901265932,0.4299458694420352,0.42377403264787866
0.26,13.91061032890561,14.155285954556263,4.311945167515644,5.488893657963695,0.5602562861538862,0.5231933453905335
0.3,14.939998556848883,15.084641216763202,5.592191323142921,6.2126152078147046,0.7053301595391319,0.6361799328919507
0.34,15.446097569132387,16.125273012550565,6.968031362294941,7.002462733104303,0.8758915499121224,0.7494690199771891
0.4,15.908447584264081,18.180176212595597,8.91557389472397,8.101198893346977,1.1804061669093284,0.9712222844423282
0.4641,35.79331287062419,40.43068001054505,12.962974005530622,9.475452556385557,1.876693032212135,1.300995485706692
