# theta_degrees,signal_power,noise_variance,fisher_ratio
-3.500000000000000000e+01,1.863916865730095740e+00,2.192906794067261966e+00,8.499754165442768850e-01
-3.400000000000000000e+01,1.909175824188766857e+00,2.221872527480812209e+00,8.592643369840010648e-01
-3.300000000000000000e+01,1.953800893160833718e+00,2.250432571622933864e+00,8.681890396528612053e-01
-3.200000000000000000e+01,1.997737703873718518e+00,2.278552130479180260e+00,8.767575150688317054e-01
-3.100000000000000000e+01,2.040932726091515548e+00,2.306196944698569062e+00,8.849776385243954824e-01
-3.000000000000000000e+01,2.083333333333333925e+00,2.333333333333332593e+00,8.928571428571433488e-01
-2.900000000000000000e+01,2.124887866990562646e+00,2.359928234873960751e+00,9.004035951559555828e-01
-2.800000000000000000e+01,2.165545699264926682e+00,2.385949247529553841e+00,9.076243769674329220e-01
-2.700000000000000000e+01,2.205257294850657246e+00,2.411364668704421010e+00,9.145266676049867982e-01
-2.600000000000000000e+01,2.243974271285637201e+00,2.436143533622808111e+00,9.211174301986244650e-01
-2.500000000000000000e+01,2.281649457897971356e+00,2.460255653054701064e+00,9.274034001568215446e-01
-2.400000000000000000e+01,2.318236953276191947e+00,2.483671650096762384e+00,9.333910757429931815e-01
-2.300000000000000000e+01,2.353692181193051791e+00,2.506362995963553608e+00,9.390867104978907198e-01
-2.200000000000000000e+01,2.387971944914793365e+00,2.528302044745470045e+00,9.444963072658496550e-01
-2.100000000000000000e+01,2.421034479829713870e+00,2.549462067091017303e+00,9.496256136072493970e-01
-2.000000000000000000e+01,2.452839504331914444e+00,2.569817282772423717e+00,9.544801184019165996e-01
-1.900000000000000000e+01,2.483348268898225353e+00,2.589342892094863124e+00,9.590650494686376870e-01
-1.800000000000000000e+01,2.512523603298537633e+00,2.608015106111063908e+00,9.633853720445207935e-01
-1.700000000000000000e+01,2.540329961882002330e+00,2.625811175604481296e+00,9.674457879848117337e-01
-1.600000000000000000e+01,2.566733466883925008e+00,2.642709418805712307e+00,9.712507355590679348e-01
-1.500000000000000000e+01,2.591701949700609298e+00,2.658689247808390110e+00,9.748043897333997787e-01
-1.400000000000000000e+01,2.615204990081843039e+00,2.673731193652380878e+00,9.781106628409456105e-01
-1.300000000000000000e+01,2.637213953193287885e+00,2.687816930043704922e+00,9.811732055539980069e-01
