# theta_degrees,signal_power,noise_variance,fisher_ratio
-6.100000000000000000e+01,6.528899107872153662e-01,1.423984365510023054e+00,4.584951398348901530e-01
-6.000000000000000000e+01,6.944444444444446418e-01,1.450849484347008334e+00,4.786467872351328201e-01
-5.900000000000000000e+01,7.368450516862631305e-01,1.478256844977079432e+00,4.984553626049254005e-01
-5.800000000000000000e+01,7.800400739040593834e-01,1.506173055753090129e+00,5.178953845473205364e-01
-5.700000000000000000e+01,8.239768846169440719e-01,1.534564105072371731e+00,5.369452353885759699e-01
-5.600000000000000000e+01,8.686019535890109333e-01,1.563395402814633517e+00,5.555868669085488598e-01
-5.500000000000000000e+01,9.138609120476819392e-01,1.592631822484699811e+00,5.738055080564367083e-01
-5.400000000000000000e+01,9.596986189236844655e-01,1.622237744008725668e+00,5.915893786025252510e-01
-5.300000000000000000e+01,1.006059228031945585e+00,1.652177097131778849e+00,6.089294118520888199e-01
-5.200000000000000000e+01,1.052886256111572161e+00,1.682413405363880399e+00,6.258189888137801749e-01
-5.100000000000000000e+01,1.100122651642000848e+00,1.712909830420997537e+00,6.422536855729373828e-01
-5.000000000000000000e+01,1.147710864351484839e+00,1.743629217106811069e+00,6.582310350682649691e-01
-4.900000000000000000e+01,1.195592915333242301e+00,1.774534138580603493e+00,6.737503040034840129e-01
-4.800000000000000000e+01,1.243710467683814658e+00,1.805586941956097036e+00,6.888122852375255789e-01
-4.700000000000000000e+01,1.292004897577602840e+00,1.836749794175696504e+00,7.034191056803322795e-01
-4.600000000000000000e+01,1.340417365690970364e+00,1.867984728104242986e+00,7.175740494684431647e-01
-4.500000000000000000e+01,1.388888888888887951e+00,1.899253688786116667e+00,7.312813959974868716e-01
-4.400000000000000000e+01,1.437360412086806871e+00,1.930518579809339164e+00,7.445462722398469291e-01
-4.300000000000000000e+01,1.485772880200174173e+00,1.961741309720186788e+00,7.573745186678551011e-01
-4.200000000000000000e+01,1.534067310093962355e+00,1.992883838431756871e+00,7.697725680294306150e-01
-4.100000000000000000e+01,1.582184862444535600e+00,2.023908223569952369e+00,7.817473361779887497e-01
-4.000000000000000000e+01,1.630066913426292619e+00,2.054776666700423249e+00,7.933061241365306770e-01
-3.900000000000000000e+01,1.677655126135776609e+00,2.085451559380134157e+00,8.044565305724156179e-01
-3.800000000000000000e+01,1.724891521666205296e+00,2.115895528977459250e+00,8.152063738703522189e-01
-3.700000000000000000e+01,1.771718549745831650e+00,2.146071484204977953e+00,8.255636230133186482e-01
-3.600000000000000000e+01,1.818079158854093214e+00,2.175942660309496013e+00,8.355363365115043850e-01
-3.500000000000000000e+01,1.863916865730096406e+00,2.205472663864230576e+00,8.451326086555565054e-01
-3.400000000000000000e+01,1.909175824188766857e+00,2.234625517108600690e+00,8.543605224105129681e-01
-3.300000000000000000e+01,1.953800893160832386e+00,2.263365701781578032e+00,8.632281083091981611e-01
-3.200000000000000000e+01,1.997737703873717852e+00,2.291658202395228550e+00,8.717433087472178377e-01
-3.100000000000000000e+01,2.040932726091514215e+00,2.319468548895676108e+00,8.799139471251826716e-01
-3.000000000000000000e+01,2.083333333333333037e+00,2.346762858659570128e+00,8.877477013264546413e-01
-2.900000000000000000e+01,2.124887866990563090e+00,2.373507877774824415e+00,8.952520810601464207e-01
-2.800000000000000000e+01,2.165545699264926682e+00,2.399671021555403350e+00,9.024344086387630082e-01
-2.700000000000000000e+01,2.205257294850656358e+00,2.425220414240733646e+00,9.093018027976061957e-01
-2.600000000000000000e+01,2.243974271285637201e+00,2.450124927831410115e+00,9.158611651985291147e-01
-2.500000000000000000e+01,2.281649457897970024e+00,2.474354220013870176e+00,9.221191692938693896e-01
-2.400000000000000000e+01,2.318236953276191947e+00,2.497878771127825193e+00,9.280822512573247973e-01
-2.300000000000000000e+01,2.353692181193051347e+00,2.520669920131421549e+00,9.337566027170807192e-01
-2.200000000000000000e+01,2.387971944914793365e+00,2.542699899520306062e+00,9.391481650529411862e-01
-2.100000000000000000e+01,2.421034479829713870e+00,2.563941869158051556e+00,9.442626250433416857e-01
-2.000000000000000000e+01,2.452839504331914444e+00,2.584369948976728004e+00,9.491054116703018240e-01
-1.900000000000000000e+01,2.483348268898224021e+00,2.603959250507783985e+00,9.536816939105171587e-01
-1.800000000000000000e+01,2.512523603298536301e+00,2.622685907204800770e+00,9.579963793591764754e-01
-1.700000000000000000e+01,2.540329961882002330e+00,2.640527103521216112e+00,9.620541135496779583e-01
-1.600000000000000000e+01,2.566733466883925008e+00,2.657461102707541212e+00,9.658592798475286179e-01
-1.500000000000000000e+01,2.591701949700610186e+00,2.673467273294252600e+00,9.694159998102797049e-01
-1.400000000000000000e+01,2.615204990081842595e+00,2.688526114228051433e+00,9.727281339176200303e-01
-1.300000000000000000e+01,2.637213953193287441e+00,2.702619278630896460e+00,9.757992825868013753e-01
-1.200000000000000000e+01,2.657702024503613814e+00,2.715729596152847147e+00,9.786327873984816961e-01
-1.100000000000000000e+01,2.676644242453870781e+00,2.727841093891494317e+00,9.812317324670158936e-01
-1.000000000000000000e+01,2.694017528869316447e+00,2.738939015852476011e+00,9.835989458972389521e-01
-9.000000000000000000e+00,2.709800717076600307e+00,2.749009840927386872e+00,9.857370012769546275e-01
-8.000000000000000000e+00,2.723974577692111598e+00,2.758041299367163468e+00,9.876482191608701999e-01
-7.000000000000000000e+00,2.736521842049994824e+00,2.766022387730886933e+00,9.893346685074762004e-01
-6.000000000000000000e+00,2.747427223241398320e+00,2.772943382291779280e+00,9.907981680356948706e-01
-5.000000000000000000e+00,2.756677434739177812e+00,2.778795850884065999e+00,9.920402874727730635e-01
-4.000000000000000000e+00,2.764261206585512998e+00,2.783572663176271611e+00,9.930623486693095359e-01
-3.000000000000000000e+00,2.770169299122601458e+00,2.787267999358425286e+00,9.938654265611489569e-01
-2.000000000000000000e+00,2.774394514249755250e+00,2.789877357232616095e+00,9.944503499615413578e-01
-1.000000000000000000e+00,2.776931704193187578e+00,2.791397557698214626e+00,9.948177021703222822e-01
0.000000000000000000e+00,2.777777777777776347e+00,2.791826748625122256e+00,9.949678213899681989e-01
1.000000000000000000e+00,2.776931704193188466e+00,2.791164407110303891e+00,9.949008009414068709e-01
2.000000000000000000e+00,2.774394514249756138e+00,2.789411340114873461e+00,9.946164892752967779e-01
3.000000000000000000e+00,2.770169299122601458e+00,2.786569683480922599e+00,9.941144897773257494e-01
4.000000000000000000e+00,2.764261206585513442e+00,2.782642899329337283e+00,9.933941603688155597e-01
5.000000000000000000e+00,2.756677434739176924e+00,2.777635771841731938e+00,9.924546129067676192e-01
6.000000000000000000e+00,2.747427223241396099e+00,2.771554401431659986e+00,9.912947123903463886e-01
7.000000000000000000e+00,2.736521842049995712e+00,2.764406197312204938e+00,9.899130759837968530e-01
8.000000000000000000e+00,2.723974577692109378e+00,2.756199868468987901e+00,9.883080718689755129e-01
9.000000000000000000e+00,2.709800717076602083e+00,2.746945413049616036e+00,9.864778179440498729e-01
1.000000000000000000e+01,2.694017528869315115e+00,2.736654106182479396e+00,9.844201803885839208e-01
1.100000000000000000e+01,2.676644242453873002e+00,2.725338486239742064e+00,9.821327721192333327e-01
1.200000000000000000e+01,2.657702024503612037e+00,2.713012339561264419e+00,9.796129511646095578e-01
1.300000000000000000e+01,2.637213953193287885e+00,2.699690683658078960e+00,9.768578189927539235e-01
1.400000000000000000e+01,2.615204990081842595e+00,2.685389748915858021e+00,9.738642188299294622e-01
1.500000000000000000e+01,2.591701949700609298e+00,2.670126958820697727e+00,9.706287340154319265e-01
1.600000000000000000e+01,2.566733466883925008e+00,2.653920908731273176e+00,9.671476864436668874e-01
1.700000000000000000e+01,2.540329961882001442e+00,2.636791343223269024e+00,9.634171351520931514e-01
1.800000000000000000e+01,2.512523603298537633e+00,2.618759132033651404e+00,9.594328751218084150e-01
1.900000000000000000e+01,2.483348268898224909e+00,2.599846244634102632e+00,9.551904363666423592e-01
2.000000000000000000e+01,2.452839504331915332e+00,2.580075723464612558e+00,9.506850833967616099e-01
2.100000000000000000e+01,2.421034479829712094e+00,2.559471655859812067e+00,9.459118151540559793e-01
