neuron,selectivity,g_color,g_shape,ratio_shape_over_color,log2_ratio
0,-0.6109667722977403,1.002465315371917,1.1029778916133615,1.1002653904330384,0.13785155218792736
1,-0.17715164387526738,0.9826509215729566,1.0551119242435008,1.0737403294289698,0.1026451378850938
2,-0.422639853941672,0.9923104449376625,0.9410941041380835,0.9483867764762419,-0.07645254767810031
3,0.2534816803483868,1.0401971433739652,0.9849117185603996,0.946851012651131,-0.07879065992145838
4,-0.6165304540309574,1.0000238355288125,1.0747952698052092,1.074769652102125,0.10402749015938183
5,-0.8703635370910054,0.9910648382671738,0.9399558748206314,0.9484302525192476,-0.07638641302125784
6,-0.2235829934505227,0.9861160333714053,1.020744358633272,1.0351158728688772,0.04979227483216704
7,0.20175955405651663,0.9359801465166414,1.0203804343351663,1.090173160330954,0.12455730721275514
8,-0.5773910124043603,1.0481596147531285,0.846934735075145,0.8080207662597402,-0.3075357239462313
9,-0.3810319989098192,1.01186133397034,1.0089889970752797,0.997161333476607,-0.004101153777854893
10,-0.09545245469953298,1.0341465662863925,1.0853466664557123,1.0495095200607099,0.06971525332095065
11,-0.5686392029468115,1.014380607687198,0.9902153637166463,0.9761773403519365,-0.03478483152014592
12,-0.7789330938871809,1.0202081949611632,0.9341162464580793,0.9156133533055212,-0.12718959157526596
13,-0.06567084425154218,1.0257728316465564,0.9378697136812256,0.9143054726608968,-0.12925183959915354
14,-0.4407950528507417,1.0071115389653489,1.0003690810491876,0.9933051527509243,-0.009691099459760646
15,-0.2684727157089559,1.0259099114089414,0.9565597196616321,0.9324012849705301,-0.10097710219735914
16,0.19852277294690499,1.021689957997411,0.9630238581914172,0.9425793516450661,-0.08531401718946349
17,-0.15922516140552412,0.9935096681735325,0.93390047575251,0.9400013967347213,-0.08926519441542909
18,-0.5518187622978417,1.003764863221526,0.981204984393452,0.9775247374612747,-0.032794882839618664
19,-0.32648879292176397,1.0024796744899953,1.0496212417777953,1.0470249606923312,0.066295836001099
20,-0.36570400627602456,1.0068856914754651,0.877391838120545,0.8713917036947515,-0.1986067171121525
21,-0.26257360795638085,0.9606073716015238,0.9509205827579414,0.9899159749030216,-0.01462202195301922
22,-0.3417044015209092,1.0007103296876048,0.9728269614437693,0.9721364240813701,-0.040769307255048515
23,0.4315237935975359,0.9965139375831675,1.0000000659857142,1.0034983237775863,0.005038206855205296
24,0.048910908113255935,0.9489063556978702,1.0231197127604605,1.0782093581910221,0.10863733643752782
25,-0.20399244677121758,0.9503419924075253,1.0078550643816186,1.0605182896615288,0.08476950175150087
26,-0.5000758661604674,1.0174158586910012,0.9351210521270867,0.9191138944209957,-0.12168444693651628
27,-0.13518711128164507,1.0184382369390803,1.0084307960555798,0.9901737380623413,-0.014246409038775968
28,-0.001656909186303901,0.9717106302807,0.9887038277517023,1.0174879196969122,0.025011665944282627
29,-0.18933391005369907,0.9984918936744669,0.9105391297587729,0.9119143936242304,-0.13302969778967186
30,-0.3044714221271929,0.9933090738169381,0.9871921713293111,0.9938418940802426,-0.008911736831198185
