neuron,selectivity,d_color_col,d_shape_shp,ratio_shape_over_color,log2_ratio
0,-0.6109667722977403,0.25100877173628666,0.8032716587305393,3.200173655967958,1.6781501944270603
1,-0.17715164387526738,0.7876844158843339,0.6510122152795754,0.8264886319324435,-0.2749331190085881
2,-0.422639853941672,0.004117355600036024,0.15069627930255805,36.60025849228065,5.193781932582868
3,0.2534816803483868,0.8485566004259557,0.48323058034438043,0.5694735979912718,-0.8122991378179187
4,-0.6165304540309574,0.11565033893475798,0.6208126097318655,5.368013751146181,2.42438836726928
5,-0.8703635370910054,-0.1087669879555053,0.6526335170173551,6.000290430754006,2.5850323328658074
6,-0.2235829934505227,0.5485843690073682,0.265955778493534,0.4848037850117401,-1.0445271324701644
7,0.20175955405651663,0.726174160515755,-0.5664796328605418,0.780087840714998,-0.3582915090808507
8,-0.5773910124043603,0.08947899466587494,1.149867204192252,12.850694271578934,3.683774399451002
9,-0.3810319989098192,1.0516135899112136,0.49647630641354945,0.4721090628497813,-1.0828079169593547
10,-0.09545245469953298,0.8419255076740018,0.5203486480099608,0.6180459473747465,-0.6942139985285828
11,-0.5686392029468115,0.7583658396130234,1.2470007724657297,1.644326138292834,0.7174964738571701
12,-0.7789330938871809,0.0013105115004028722,0.5462300339573918,416.80674558953905,8.703234816119135
13,-0.06567084425154218,0.3758474546424485,0.6632883380001331,1.7647807103798756,0.8194889270078309
14,-0.4407950528507417,0.32709228429373366,0.8292085766990132,2.5350906044357706,1.3420373102401597
15,-0.2684727157089559,0.2922985484667707,0.6043864489871017,2.0677025327539122,1.0480286491977477
16,0.19852277294690499,0.825068235147904,0.548591795273502,0.6649047580585805,-0.5887803932466988
17,-0.15922516140552412,0.5247206784621388,0.7825351671448239,1.4913366277784237,0.5766059426725305
18,-0.5518187622978417,0.793955641654026,0.911786811916957,1.1484102688864433,0.19963813604549877
19,-0.32648879292176397,0.8631716392034983,1.320490444643449,1.5298121308299901,0.6133544930736877
20,-0.36570400627602456,-0.5823677427764786,1.478433233003702,2.538659208617274,1.3440667395948638
21,-0.26257360795638085,0.2506955554630119,0.3829259223464348,1.5274539735564039,0.6111289082781415
22,-0.3417044015209092,-0.15615185396330683,1.4815095057328698,9.487620339567105,3.2460462795737572
23,0.4315237935975359,1.7729299906584406,0.3675827456558669,0.20733066031510056,-2.2699946151320987
24,0.048910908113255935,0.7478505808820504,0.719071910566802,0.9615181547599161,-0.05661399703635538
25,-0.20399244677121758,1.0561859370423519,0.2678570442034748,0.25360784953575877,-1.9793286951866356
26,-0.5000758661604674,-0.4353718410398968,0.18800828977703443,0.4318338304276638,-1.211451824481159
27,-0.13518711128164507,-0.005337885509706819,0.1575673040366259,29.518674336602906,4.883556027296735
28,-0.001656909186303901,1.0823387062924414,0.17639500188142754,0.16297578646661065,-2.6172704576666983
29,-0.18933391005369907,-0.15479987209086796,0.3538056151065696,2.2855678775793766,1.1925526652307294
30,-0.3044714221271929,-0.04329297503509806,0.35012844247029606,8.087419314065524,3.01567941380954
31,0.025739845277034046,1.056653436597842,1.1591399788704793,1.0969916329440248,0.13355252195241216
32,-0.5756736493004333,-0.21417416963609048,1.182762640240841,5.522433644752702,2.4653041788659573
33,-0.06651023554589752,0.1507227490966554,0.025520647356815973,0.16932180118530604,-2.562160354158272
