neuron,selectivity,g_color,g_shape,ratio,log2_ratio
0,-0.6109667722977403,0.9800291106605448,1.090401937161194,0.8987778517819786,-0.15396352168018387
1,-0.17715164387526738,0.9609076506390365,1.0386290804259568,0.9251692146391944,-0.11221083434592488
2,-0.422639853941672,1.0017051265663477,0.9329248588996514,1.0737254099411033,0.10262509167828986
3,0.2534816803483868,1.0274561737023555,0.9887061915608472,1.0391926160392457,0.05546308489630617
4,-0.6165304540309574,0.9986192596584391,1.0553756104277823,0.9462216577600424,-0.07974991228189342
5,-0.8703635370910054,0.9999420616898634,0.9256326771521319,1.0802795605339657,0.11140470905980461
6,-0.2235829934505227,0.9842797223392764,1.005430036386284,0.978963912672626,-0.03067241582225638
7,0.20175955405651663,0.9745799516882279,1.0132638246608174,0.9618225066058185,-0.056157409276055094
8,-0.5773910124043603,1.0333883461129734,0.8618432589751642,1.1990444148064674,0.26188509981489944
9,-0.3810319989098192,1.0002810698311193,1.0080051782873185,0.9923372333569601,-0.011097609141489486
10,-0.09545245469953298,0.9724292791600567,1.0928322491022544,0.8898248381295512,-0.16840672513720548
11,-0.5686392029468115,0.9953002192671275,0.9819613034616316,1.013583952604303,0.01946558854808708
12,-0.7789330938871809,0.9965322685223786,0.9388354040499479,1.061455782582843,0.08604427366708495
13,-0.06567084425154218,0.9977575091920264,0.9410003876778357,1.0603157259628697,0.084493914277653
14,-0.4407950528507417,0.9825919769939269,0.9902908530899328,0.9922256415153428,-0.011259854438640938
15,-0.2684727157089559,1.0305795267876878,0.9629621892174768,1.0702180608203196,0.09790478093665206
16,0.19852277294690499,1.0102528960589172,0.9581704223661809,1.0543561692961316,0.07636230234265905
17,-0.15922516140552412,0.9899600269290809,0.9072789303589858,1.0911308460974503,0.12582411696578114
18,-0.5518187622978417,0.9947853423039522,0.9637070462742986,1.0322486964786346,0.0457905966831412
19,-0.32648879292176397,0.9987667830871243,1.048955162283664,0.952153932788483,-0.07073326492751289
20,-0.36570400627602456,1.0115304845873312,0.8864025392665151,1.1411637938494812,0.19050587980792255
21,-0.26257360795638085,1.008270697211934,0.9471109684816045,1.0645750400592608,0.09027764646070609
22,-0.3417044015209092,0.9865344011125226,0.9535854958290645,1.0345526493718082,0.04900706719388099
23,0.4315237935975359,0.796521319507814,0.999999975495654,0.796521339026252,-0.3282150824211857
24,0.048910908113255935,0.9655523399010443,1.0221870032846327,0.9445946160521052,-0.0822327823684632
25,-0.20399244677121758,0.959452566278424,0.9794708549474159,0.9795621395288518,-0.029791080652193984
26,-0.5000758661604674,1.0002257230221279,0.9366113681556169,1.0679196911646642,0.09480315871571222
27,-0.13518711128164507,1.0077276016693058,1.0130074021994644,0.9947879941265091,-0.007538998790792682
28,-0.001656909186303901,0.9895648907218546,0.9823607340265404,1.0073335145082378,0.01054141925886523
29,-0.18933391005369907,1.0007225357918912,0.9105982145991556,1.0989726530842248,0.13615548660502635
30,-0.3044714221271929,1.0050693949558356,0.9894579378232193,1.0157777875499643,0.022584831378935896
31,0.025739845277034046,0.9052519285833958,1.083081428627164,0.8358115139422084,-0.2587504618636647
32,-0.5756736493004333,1.0109610790880643,0.9328545496591911,1.0837285185105492,0.1160033968653791
33,-0.06651023554589752,1.0065914914232839,0.9633422684224119,1.0448949707892015,0.06335793490261578
