neuron,selectivity_shape_minus_color,g_color,g_shape,ratio_color_over_shape_gopt_adjusted
0,0.4920055924800113,0.6266227654761954,1.0013634526258162,-0.37423044167089003
1,0.11910965450321082,1.331450151121852,0.02463974790301436,53.036679121458434
2,0.35356354512903876,0.8790000242412324,0.7055015146911569,0.24592223537008429
3,0.026344981710402726,0.7467283265970047,1.7639418499533992,-0.5766706671099681
4,0.36547740082160146,0.8403595637240331,0.4939089528499552,0.7014463068026728
5,0.7832060545165329,-0.645419799555041,0.7456392189812645,-1.8655926125170634
6,-0.021817189458805286,0.8804224923358583,1.457596018793815,-0.3959763329589645
7,0.049714360892547396,1.9973860252265727,1.3043444236450301,0.5313332805489255
8,0.9466940478712849,1.2620755078050694,1.1939749537487943,0.05703683636109669
9,0.6439681980487164,0.4276158844462186,-0.39713195558350983,-2.07676020132904
10,0.03852742196397618,0.9099180198641047,1.1203651163822514,-0.18783795875179465
11,0.2140291211155705,1.7046542173309267,0.7715057265592197,1.2095159616405913
12,0.7401410580068941,1.2060625960164202,0.9313279620097064,0.2949923606004172
13,-0.11543660853784751,0.5823396730706647,1.0856677650136215,-0.46361152846439924
14,0.8099151608466059,0.3994537154974929,0.2514104650062284,0.5888507882398935
15,0.6324204600336175,0.29197801885165836,0.9843344528919088,-0.7033751912324618
16,0.025489333196627467,0.8105051371143364,0.9578879747672063,-0.15386229030439003
17,-0.14632059716945314,0.8920464635412414,0.8822321720079064,0.011124386351709648
18,0.6248898925348287,2.0104121740113627,0.8376531132660924,1.400053365970511
19,0.04355261075806943,0.8288598911300704,1.0371514761123688,-0.2008304377706257
20,0.30114224054661115,1.3064849433473458,0.714888351294332,0.827537042646
21,0.5788532383936826,2.4365347865570275,0.9587602908154008,1.541338862170936
22,0.22466210615704935,0.5419811781835414,0.3257610158200871,0.6637386054880359
23,-0.12404679768578102,1.1188435311269918,1.8575045840024342,-0.39766311170195034
24,-0.11171707513798895,0.9993670497308694,1.1556995805824053,-0.1352709073171232
