state,pc1,pc2,pc3,shape,color
color,4.661945653763718,-1.8072804766702748,-2.6353779404529873e-16,0.0,0.0
color,4.674109947022075,-0.7005339754864716,0.0902808296708232,0.0,0.167
color,4.6862014002010435,0.3995853011393446,0.18002105557116263,0.0,0.333
color,4.6983656934594,1.5063318023231471,0.27030188524198556,0.0,0.5
color,4.710529986717754,2.6130783035069496,0.3605827149128092,0.0,0.667
color,4.722621439896722,3.713197580132766,0.4503229408131485,0.0,0.833
color,4.7347857331550784,4.819944081316568,0.540603770483972,0.0,1.0
color,3.0790380297414877,-3.2330716342258783,-0.15086797292093848,0.167,0.0
color,3.0912023229998438,-2.1263251330420774,-0.060587143250115084,0.167,0.167
color,3.103293776178811,-1.0262058564162608,0.02915308265022412,0.167,0.333
color,3.1154580694371656,0.08054064476754043,0.11943391232104751,0.167,0.5
color,3.1276223626955253,1.187287145951346,0.20971474199187115,0.167,0.667
color,3.1397138158744906,2.2874064225771593,0.29945496789221004,0.167,0.833
color,3.151878109132848,3.394152923760964,0.38973579756303284,0.167,1.0
color,1.5056088944858572,-4.650325120179355,-0.3008325448064222,0.333,0.0
color,1.5177731877442147,-3.543578618995553,-0.2105517151355987,0.333,0.167
color,1.5298646409231804,-2.4434593423697364,-0.12081148923525971,0.333,0.333
color,1.5420289341815379,-1.336712841185934,-0.0305306595644362,0.333,0.5
color,1.5541932274398946,-0.22996634000213154,0.05975017010638741,0.333,0.667
color,1.5662846806188608,0.870152936623685,0.1494903960067272,0.333,0.833
color,1.5784489738772178,1.9768994378074878,0.23977122567754983,0.333,1.0
color,-0.07729872953637344,-6.076116277734964,-0.4517005177273604,0.5,0.0
color,-0.06513443627801527,-4.969369776551154,-0.3614196880565373,0.5,0.167
color,-0.053042983099049285,-3.8692504999253403,-0.27167946215619765,0.5,0.333
color,-0.0408786898406922,-2.7625039987415385,-0.18139863248537422,0.5,0.5
color,-0.028714396582334847,-1.655757497557736,-0.0911178028145504,0.5,0.667
color,-0.01662294340336944,-0.5556382209319203,-0.0013775769142121619,0.5,0.833
color,-0.0044586501450107905,0.5511082802518835,0.0889032527566122,0.5,1.0
color,-1.6602063535586027,-7.5019074352905655,-0.6025684906482983,0.667,0.0
color,-1.6480420603002466,-6.395160934106762,-0.5122876609774748,0.667,0.167
color,-1.6359506071212804,-5.295041657480946,-0.4225474350771359,0.667,0.333
color,-1.6237863138629214,-4.188295156297143,-0.3322666054063125,0.667,0.5
color,-1.611622020604565,-3.08154865511334,-0.24198577573548885,0.667,0.667
color,-1.5995305674256004,-1.9814293784875254,-0.15224554983514985,0.667,0.833
color,-1.5873662741672419,-0.8746828773037232,-0.06196472016432665,0.667,1.0
color,-3.233635488814231,-8.919160921244039,-0.7525330625337824,0.833,0.0
color,-3.2214711955558752,-7.812414420060236,-0.662252232862959,0.833,0.167
color,-3.2093797423769086,-6.71229514343442,-0.5725120069626188,0.833,0.333
color,-3.19721544911855,-5.605548642250617,-0.48223117729179527,0.833,0.5
color,-3.1850511558601924,-4.498802141066813,-0.39195034762097214,0.833,0.667
color,-3.1729597026812297,-3.398682864441001,-0.3022101217206331,0.833,0.833
color,-3.1607954094228723,-2.2919363632571996,-0.21192929204981042,0.833,1.0
color,-4.816543112836464,-10.344952078799654,-0.9034010354547207,1.0,0.0
color,-4.804378819578104,-9.238205577615838,-0.8131202057838972,1.0,0.167
color,-4.79228736639914,-8.138086300990024,-0.7233799798835573,1.0,0.333
color,-4.7801230731407784,-7.03133979980622,-0.6330991502127354,1.0,0.5
color,-4.767958779882426,-5.924593298622419,-0.5428183205419099,1.0,0.667
color,-4.755867326703462,-4.824474021996607,-0.45307809464157084,1.0,0.833
color,-4.743703033445102,-3.7177275208128022,-0.36279726497074877,1.0,1.0
shape,4.661945653763718,-1.8072804766702748,-2.6353779404529873e-16,0.0,0.0
shape,4.387338712605206,-0.6666474746009714,-0.11779111321741588,0.0,0.167
shape,4.114376124387763,0.46715538973138904,-0.23487689042754198,0.0,0.333
shape,3.839769183229253,1.6077883918006903,-0.3526680036449576,0.0,0.5
shape,3.565162242070739,2.748421393869995,-0.47045911686237396,0.0,0.667
shape,3.2921996538532987,3.882224258202356,-0.5875448940724993,0.0,0.833
shape,3.017592712694787,5.022857260271652,-0.7053360072899154,0.0,1.0
shape,3.940505391805623,-2.6537605284813486,-0.01414847377833601,0.167,0.0
shape,3.6658984506471137,-1.5131275264120465,-0.13193958699575184,0.167,0.167
shape,3.39293586242967,-0.37932466207968574,-0.24902536420587748,0.167,0.333
shape,3.1183289212711576,0.7613083399896168,-0.36681647742329343,0.167,0.5
shape,2.843721980112646,1.901941342058921,-0.484607590640709,0.167,0.667
shape,2.5707593918952045,3.0357442063912807,-0.6016933678508352,0.167,0.833
shape,2.2961524507366913,4.176377208460583,-0.7194844810682509,0.167,1.0
shape,3.223385131416141,-3.495171837467208,-0.028212226156801502,0.333,0.0
shape,2.9487781902576304,-2.354538835397905,-0.14600333937421744,0.333,0.167
shape,2.6758156020401875,-1.2207359710655432,-0.2630891165843435,0.333,0.333
shape,2.4012086608816756,-0.08010296899624142,-0.3808802298017591,0.333,0.5
shape,2.126601719723165,1.0605300330730618,-0.49867134301917504,0.333,0.667
shape,1.8536391315057215,2.1943328974054217,-0.6157571202293013,0.333,0.833
shape,1.5790321903472107,3.3349658994747244,-0.7335482334467163,0.333,1.0
shape,2.5019448694580473,-4.341651889278282,-0.04236069993513717,0.5,0.0
shape,2.2273379282995367,-3.201018887208981,-0.16015181315255328,0.5,0.167
shape,1.9543753400820933,-2.0672160228766194,-0.2772375903626793,0.5,0.333
