state,pc1,pc2,pc3,shape,color
color,-4.661945653763752,-1.807280476670196,2.3735254822137454e-17,0.0,0.0
color,-4.448470062598577,-0.7082326615643548,0.0822173134852786,0.0,0.167
color,-4.236272768386488,0.38423402890013336,0.16394230772813023,0.0,0.333
color,-4.022797177221314,1.483281844005975,0.24615962121340879,0.0,0.5
color,-3.8093215860561402,2.5823296591118154,0.3283769346986868,0.0,0.667
color,-3.597124291844052,3.6747963495763036,0.4101019289415381,0.0,0.833
color,-3.3836487006788767,4.773844164682146,0.4923192424268175,0.0,1.0
color,-3.5728849061007573,-2.4927897379928443,0.08245961225972087,0.167,0.0
color,-3.3594093149355837,-1.3937419228870027,0.16467692574499945,0.167,0.167
color,-3.1472120207234937,-0.3012752324225145,0.24640191998785096,0.167,0.333
color,-2.9337364295583193,0.7977725826833268,0.3286192334731294,0.167,0.5
color,-2.7202608383931457,1.8968203977891676,0.4108365469584074,0.167,0.667
color,-2.5080635441810566,2.9892870882536533,0.49256154120125983,0.167,0.833
color,-2.294587953015883,4.088334903359497,0.5747788546865373,0.167,1.0
color,-2.4903454802800558,-3.174194153439309,0.16442545438615014,0.333,0.0
color,-2.2768698891148813,-2.0751463383334676,0.24664276787142847,0.333,0.167
color,-2.0646725949027935,-0.9826796478689785,0.32836776211428054,0.333,0.333
color,-1.85119700373762,0.11636816723686172,0.410585075599559,0.333,0.5
color,-1.6377214125724455,1.2154159823427022,0.4928023890848376,0.333,0.667
color,-1.4255241183603546,2.3078826728071915,0.5745273833276894,0.333,0.833
color,-1.2120485271951802,3.4069304879130318,0.656744696812968,0.333,1.0
color,-1.401284732617063,-3.859703414761955,0.2468850666458713,0.5,0.0
color,-1.1878091414518877,-2.760655599656114,0.3291023801311496,0.5,0.167
color,-0.975611847239799,-1.668188909191628,0.41082737437400085,0.5,0.333
color,-0.762136256074625,-0.5691410940857855,0.49304468785928024,0.5,0.5
color,-0.548660664909451,0.5299067210200554,0.5752620013445583,0.5,0.667
color,-0.3364633706973619,1.6223734114845454,0.6569869955874102,0.5,0.833
color,-0.12298777953219009,2.721421226590386,0.7392043090726891,0.5,1.0
color,-0.3122239849540689,-4.5452126760846,0.32934467890559216,0.667,0.0
