neuron,selectivity_shape_minus_color,g_color,g_shape,ratio_color_over_shape_gopt
0,0.6109667722977403,0.980455458366285,0.9460320300659737,1.0363871699966378
1,0.17715164387526738,0.9552177791203714,0.9997476260264928,0.9554589120825812
2,0.422639853941672,1.0061101371710037,1.0065147076951004,0.9995980480752013
3,-0.2534816803483868,1.042832436560461,0.9877028343376426,1.055815980582594
4,0.6165304540309574,0.9989016737478987,0.9512497366397739,1.0500940344818408
5,0.8703635370910054,1.000462572035156,1.0851196309317312,0.9219836629222099
6,0.2235829934505227,0.9786693949789916,1.0194341949750239,0.9600123282140922
7,-0.20175955405651663,0.957489240634903,1.024692435203897,0.9344162284602441
8,0.5773910124043603,1.0443899348338592,0.8872008484981565,1.1771741839535135
9,0.3810319989098192,1.0036689158334384,0.9808506285141658,1.023263773969147
10,0.09545245469953298,0.9767472532044512,0.9186542861575534,1.0632370282512038
11,0.5686392029468115,0.9999348053375445,0.877767433948758,1.139179658145963
12,0.7789330938871809,1.0026813397702563,0.8729010398250231,1.1486769908890242
13,0.06567084425154218,1.0145376988553634,0.9493015440111122,1.0687201608969668
14,0.4407950528507417,0.9875174589390858,0.9485601183749969,1.0410699752281245
15,0.2684727157089559,1.0367061317800517,0.9840665328049846,1.0534919105773974
16,-0.19852277294690499,1.0206029984396219,0.9840305326869782,1.0371659867633807
17,0.15922516140552412,0.9953481435898678,0.9891548404703231,1.0062612069072965
18,0.5518187622978417,0.9941777806442579,0.9715522598636284,1.0232880120970353
19,0.32648879292176397,0.9985655868631845,0.9249153001007472,1.0796292230805733
20,0.36570400627602456,1.014129704810184,0.9798151775299118,1.0350214285991604
21,0.26257360795638085,1.0070957815504995,1.0688104682796573,0.9422585308053399
22,0.3417044015209092,0.988696304241309,0.9530899185356091,1.0373588944895888
23,-0.4315237935975359,0.7873637344936655,1.0000000130535187,0.7873637242160109
24,-0.048910908113255935,0.9603089647712367,1.030992038292106,0.9314416883006282
25,0.20399244677121758,0.958440094655668,1.0460643851179066,0.9162343239013168
26,0.5000758661604674,1.0113238573427223,0.9481150033921112,1.0666679186853911
27,0.13518711128164507,1.0063368470895444,0.9747406885035491,1.0324149375917304
28,0.001656909186303901,0.9903304416651117,1.0204818029083214,0.9704537982379986
29,0.18933391005369907,1.0020916830999473,1.0253293938949273,0.9773363458286474
30,0.3044714221271929,1.0047232370870367,1.0136933429065216,0.991151065672626
31,-0.025739845277034046,0.9026395763291793,0.9604831874121351,0.9397765501354108
32,0.5756736493004333,1.0145552350469462,0.9602015373322396,1.0566065514388394
