neuron,selectivity_shape_minus_color,delta_r_color_under_color,delta_r_shape_under_shape,ratio_color_over_shape_activity
0,0.6109667722977403,0.028014133405931053,0.08086369715318521,0.34643646522265326
1,0.17715164387526738,0.04123953255111794,0.022299179042361762,1.8493744757116755
2,0.422639853941672,0.11501668148542642,0.1265167609582738,0.9091023245801455
3,-0.2534816803483868,0.05525916652564073,0.015702706510120387,3.519085482971177
4,0.6165304540309574,0.05356174516851337,0.10629788641460361,0.5038834446820286
5,0.8703635370910054,0.04775063960533754,0.15478561599225546,0.30849532949119896
6,0.2235829934505227,0.10242034885983782,0.051784742275768736,1.9778093770061078
7,-0.20175955405651663,0.20726108204683175,0.025804910186528696,8.031846673428818
8,0.5773910124043603,-0.030673185631258825,0.10791858547053435,0.2842252379257647
9,0.3810319989098192,0.084456366899508,0.002549985702476082,33.12032957101643
10,0.09545245469953298,0.06107979936953688,0.02394305858935971,2.551044142502733
11,0.5686392029468115,-0.03054417147235961,0.030420630229474048,1.0040611007053302
12,0.7789330938871809,0.06619340201011753,0.12505193770464654,0.5293272797333765
13,0.06567084425154218,0.04513394682810613,0.07733589369307108,0.5836093005875007
14,0.4407950528507417,0.0017663087137366681,0.07143887337167329,0.024724756023550537
15,0.2684727157089559,0.04833930300750555,0.09177150345729168,0.5267354373296804
16,-0.19852277294690499,0.0671721140356185,0.02523806315978301,2.6615399766887062
17,0.15922516140552412,0.018197444432261515,0.0582741469851244,0.31227302971237814
18,0.5518187622978417,-0.0004222266551761715,0.016214943085496654,0.026039354805246894
19,0.32648879292176397,-0.04293547203076138,0.008645680979074106,4.966118010913856
20,0.36570400627602456,-0.08236617064704,0.19935085650490236,0.4131718924699042
21,0.26257360795638085,0.07562541088893793,0.09497799926085651,0.796241355657924
22,0.3417044015209092,-0.06943584847332115,0.14937811214124752,0.46483281572202384
23,-0.4315237935975359,0.05054179044907109,-0.10031121880893946,0.5038498290588319
24,-0.048910908113255935,0.024397725880010365,0.023099296123281494,1.05621079316629
25,0.20399244677121758,0.07448560574495813,-0.020161591015650862,3.6944309446830204
26,0.5000758661604674,0.10814947884062409,0.17253688147265195,0.6268194829876972
27,0.13518711128164507,0.10257585898798517,0.13004943703640526,0.788745121284008
28,0.001656909186303901,0.10059544530965735,-0.01372121253305967,7.331381615214611
29,0.18933391005369907,0.08961935582578603,0.15741573409169118,0.5693163796067261
30,0.3044714221271929,0.09968378645979406,0.13830801688252012,0.7207375877910641
31,-0.025739845277034046,-0.024724484643177096,-0.0029948487555553718,8.255670537638371
32,0.5756736493004333,-0.03481533010758792,0.14976587089295262,0.23246504628040543
33,0.06651023554589752,0.11647463357729068,0.10977045813149511,1.0610744963613388
34,0.07319988426985863,0.04661665822573441,0.07290846849170986,0.6393860574837835
35,-0.016372572786130912,0.05209155798409182,0.024116471071601954,2.159999190108356
36,-0.11742762606665408,0.09260354517852458,0.10736634093319317,0.862500709009754
37,0.12592315157419756,0.06092063545537736,0.03394788651849939,1.7945339666840538
38,0.4610165988112527,0.08297127940679566,0.0778624011895091,1.0656141878387035
39,-0.15921804464747896,0.060100560558735895,0.08367185006374785,0.718288893017523
40,-0.48687661260316245,0.06861779835717358,0.0967041973647367,0.7095638061981948
41,0.05574940909386594,0.08544325628340943,0.08433986160251483,1.013082718656591
42,0.5442442397847336,-0.0138404802950742,0.09120574261500854,0.1517500970782612
43,0.6687316292816969,-0.0022698298788822596,0.16468896171937025,0.013782525897128818
44,0.21855880571791553,0.017475598912382286,0.06772899788337405,0.25802240486735634
45,0.25081930248759127,-0.06216999427324603,0.08014170426960047,0.7757508383441345
46,0.7798914096650739,-0.03192574990421243,0.07900817657853151,0.4040815936699312
47,0.16288970039213763,-3.104300546891148e-05,0.12038173204981444,0.0002578714057362781
48,0.37058959033354805,0.030835787608913267,0.06630012735318426,0.46509394235676665
49,-0.21986035915599256,0.10887749759422617,-0.020122418281936463,5.410756106166067
50,0.31511286061821253,0.11368942838367042,0.14389521153764667,0.7900848622341841
51,0.7867303211598146,-0.046181931925005526,0.11311151102701789,0.40828675619554045
52,0.39232086421495416,0.20551848023982106,0.04759599226009667,4.317978688487283
53,-0.09736302071324114,0.05476214918746242,0.008781081334364726,6.236378766691818
54,0.21728837916717764,0.05540510719773216,0.07316501267999018,0.7572623193589301
55,0.2972500684234935,-0.033440602963642194,0.1529853426786893,0.21858697296680205
