neuron,selectivity_shape_minus_color,delta_r_color_under_color,delta_r_shape_under_shape,ratio_color_over_shape_activity
56,0.5947687983358907,0.013305256541283172,0.15404981611198845,0.08636983073400346
57,-0.29017063028282486,0.08328186917575713,0.038964004810846616,2.1374052687581058
58,-0.0007798588271164947,0.05713074891131973,0.04654331998561198,1.2274747252399094
59,-0.23078915059647126,0.07038242656860465,-0.014137848748279426,4.978298170942866
60,0.19218252477513895,0.05151950683122594,0.10526364789250459,0.48943303660109055
61,0.045895819312742336,0.06640391441778375,0.20770648653545903,0.3197007254134443
62,0.023616060325105312,0.03009987306496211,0.07235319565692071,0.4160130425789561
63,-0.15641671023946874,0.02196688965539447,-0.07251790008435192,0.3029167919994917
64,0.07423722811569117,0.07022395286034812,0.08426552528104761,0.8333651588392699
65,-0.28333958034605633,0.08191233349360179,0.006414528465757317,12.769813700119137
66,-0.6544282462247406,0.07175709931726829,-0.07409129826966043,0.9684956397461796
67,0.007920003010632143,0.09963504330723166,0.08930505251183818,1.11567084397502
68,-0.21689787308174746,0.11049252239715882,0.06476865616471524,1.7059566916975364
69,-0.5916167840152424,0.08569988041033993,0.09534378813836253,0.8988512212885202
70,-0.4255921009024219,0.10629436146258266,0.0697570979043444,1.5237784348170107
71,0.12831667726623155,0.1360617996789745,0.08590204567639839,1.583918038354395
72,0.06840656143666252,0.15030835377584115,0.12276896279021168,1.2243188372656093
73,-0.9449707728401285,-0.006443548518281687,-0.07256410350079415,0.08879801731612891
74,-0.17644075896414135,0.058552147327297174,0.08950439612602296,0.6541818040445864
75,-0.18685798532461634,0.07285926461209527,0.09162013341132252,0.7952320292440875
76,-0.10033065784728801,0.0373304428114688,0.06200465727079228,0.6020586913146523
77,-0.6967640796821157,0.026314894515434454,0.005074111831684894,5.186108502167226
78,-0.24455076112183988,0.05156581770885278,0.0844191401694766,0.6108308803633916
79,-0.7786808020231121,0.08708641584328614,-0.033765770081608776,2.579133117095423
80,0.16305528133809277,0.01604296370844653,0.14195308325444808,0.11301595810058468
81,-0.0013613412564081606,0.007941463062324124,0.08781440299152522,0.0904346302280288
82,0.16356302499670558,0.04834481108033674,0.13315262792999943,0.3630781594967043
83,-0.19817745560235395,0.10950495151402166,0.0651365064248832,1.6811609575595512
84,-0.09839309644869186,0.13662519730472933,-0.04961244149934525,2.7538495017379576
85,-0.2593834939259316,0.07259139161465658,0.14898850364714544,0.48722814068319004
86,-0.47012739166038553,0.15113799178475762,0.04472196214646684,3.379502699085363
87,0.03143458964224066,0.06078068742568142,-0.04800210726104273,1.2662087331891625
88,-0.06175343509115483,0.07829117862692447,0.1277815403708399,0.6126955302002137
89,-0.09533810896113804,-0.02818837371083232,-0.020883248437564235,1.3498078996071325
90,-0.5186914107611154,0.12033514240237914,0.0980809668953877,1.2268959637245487
91,-0.544289341433892,0.17926913773799563,-0.009570307193577848,18.73180600101973
92,0.19900831918364253,0.05254437398890521,0.08587130468627971,0.6118967701871743
93,-0.5370501017683673,0.06197072356542799,-0.034666351828815875,1.787633260940026
94,-0.6960479305106413,0.16952518932109684,-0.026511108101673383,6.39449655086284
95,-0.40188833981267613,0.245160537383162,0.07313223923084955,3.3522908632256545
96,0.2374072093338015,0.08175351018300361,0.07037189194119563,1.161735288446657
97,-0.4340438733870149,0.05113494032905925,0.0422551030107079,1.210148282348074
98,-0.8062332300624206,0.16534454314944805,-0.02404904090378994,6.87530716110661
99,-0.2796516633160229,0.014718632754713752,0.0893876082948783,0.1646607738624598
100,-0.20611595498050236,0.09845929789531672,0.035712022247781534,2.7570350738028027
101,-0.16114205110403274,0.059785899832491246,0.05117962169239855,1.1681582992475066
102,-0.17768272333478796,0.09317328883450515,-0.03803989117884573,2.4493573968179536
103,-0.8146871224803947,0.10805831395441771,-0.02400028207444148,4.502376831061892
104,0.026257191143805914,0.061136455195540985,0.16059949712978638,0.38067650452699536
105,-0.7590281959174221,0.18850760289944662,0.06837917072326415,2.756798611387009
106,-0.042955866779022356,-0.013567893532032478,0.0707446119126604,0.1917869526175546
107,-0.14852140663361263,0.2927300097593565,0.07208070870385913,4.0611422254318486
108,-0.837264021859334,0.20472383574443495,0.045301321972593234,4.519158091341602
109,-0.7767264870934139,0.14403683981837853,-0.03705047108007537,3.8875845735993795
110,0.3937216323815712,0.012312449199196593,0.05226688228961473,0.235568847051883
111,-0.08396445184542234,0.022673228520951674,0.07223479568646449,0.3138823652253556
112,0.3855909167247176,-0.01872150960862607,0.11867923820749683,0.1577488185147931
113,-0.4594758724987823,0.2027636332517993,0.03699373487399801,5.481026285611293
114,-0.598657360167899,0.051017935792144295,-0.05601955716825345,0.9107165135026395
115,-0.023071468961382735,-0.04244717756197143,0.04571967693032168,0.928422517655449
116,-0.027154816279841676,0.10406507564025075,0.08096078147634055,1.28537637288465
117,0.13557555152751566,0.018397950342593804,0.15673733868064593,0.11738077536816195
118,0.3026834957723041,0.06808918781341397,0.17376331742076795,0.3918501834834571
119,0.16249602516934644,-0.045663051522418695,0.175753352020053,0.2598132610179113
