neuron,selectivity_shape_minus_color,gact_color_robust,gact_shape_robust,robust_ratio_color_over_shape,symmetric_relative_change,floor_color,floor_shape
0,0.4920055924800113,1.1012850080673577,0.5660881100478702,1.9454303818044938,0.3209820838566383,0.11403264432739027,0.046059903863223096
1,0.11910965450321082,0.6634452149663901,1.093626280782858,0.606647102967263,-0.2448284357562729,0.11403264432739027,0.046059903863223096
2,0.35356354512903876,1.1448942472262993,0.3349224263112798,3.4183863404799486,0.5473460567099789,0.11403264432739027,0.046059903863223096
3,0.026344981710402726,1.1532909676428444,0.012286542607484454,93.86619201128566,0.9789176738570817,0.11403264432739027,0.046059903863223096
4,0.36547740082160146,0.8966948985299894,0.9671966600646109,0.9271071081543655,-0.03782503397769717,0.11403264432739027,0.046059903863223096
5,0.7832060545165329,0.7353124163101359,1.0149982426153754,0.7244469846713336,-0.15979210597778942,0.11403264432739027,0.046059903863223096
6,-0.021817189458805286,1.1655134424092457,4.134814367168,0.28187805761331974,-0.5602108079792569,0.11403264432739027,0.046059903863223096
7,0.049714360892547396,1.2888004643781734,1.2413677987985838,1.0382100016002167,0.018746842362182135,0.11403264432739027,0.046059903863223096
8,0.9466940478712849,1.41262763258091,1.4564832833863235,0.9698893551978028,-0.015285449775166203,0.11403264432739027,0.046059903863223096
9,0.6439681980487164,1.040249544870323,1.0007288751963084,1.0394918850175303,0.019363590170985295,0.11403264432739027,0.046059903863223096
10,0.03852742196397618,1.053211945756442,5.077550345581442,0.2074252098106235,-0.65641729504181,0.11403264432739027,0.046059903863223096
11,0.2140291211155705,2.0660416086159437,1.1857477004053045,1.7423956275926153,0.2707106225388652,0.11403264432739027,0.046059903863223096
12,0.7401410580068941,1.452275306647469,1.3987188930182735,1.038289619090358,0.018785171024008323,0.11403264432739027,0.046059903863223096
13,-0.11543660853784751,0.8161233131349781,1.3076785215245845,0.6241008777775591,-0.23145059975342255,0.11403264432739027,0.046059903863223096
14,0.8099151608466059,1.052254007720722,0.8685335920343655,1.2115294300302386,0.09564848071160309,0.11403264432739027,0.046059903863223096
15,0.6324204600336175,0.9196719543254722,0.85043709165625,1.081410916042366,0.03911333193079336,0.11403264432739027,0.046059903863223096
16,0.025489333196627467,1.147750900860479,1.3308419745352347,0.8624246325416971,-0.07386895826748106,0.11403264432739027,0.046059903863223096
17,-0.14632059716945314,0.9502675091483666,1.133934929329861,0.8380264903817035,-0.0881235991238502,0.11403264432739027,0.046059903863223096
18,0.6248898925348287,1.8600493203960526,1.3167065552167885,1.4126528899131918,0.17103699070809925,0.11403264432739027,0.046059903863223096
19,0.04355261075806943,1.0923294465072877,1.6858167100785595,0.6479526747932975,-0.21362708443691591,0.11403264432739027,0.046059903863223096
20,0.30114224054661115,1.839079116498006,1.0183396014152266,1.8059585563994165,0.2872310977517067,0.11403264432739027,0.046059903863223096
21,0.5788532383936826,0.9503150544604407,0.9324144081396467,1.0191981657120575,0.009507816537838294,0.11403264432739027,0.046059903863223096
22,0.22466210615704935,0.9744160026376624,1.4574738719475497,0.6685649886367638,-0.19863476317655215,0.11403264432739027,0.046059903863223096
23,-0.12404679768578102,1.1061807476652918,2.4059865380471352,0.4597618191840278,-0.370086526250931,0.11403264432739027,0.046059903863223096
24,-0.11171707513798895,1.1237060761593685,0.5007033281122643,2.2442552566879974,0.3835256964213823,0.11403264432739027,0.046059903863223096
25,0.0026633765445076008,1.1577637731518349,0.49484910288032735,2.3396299324594008,0.40113125093320706,0.11403264432739027,0.046059903863223096
26,0.34974396206017466,1.106453423785532,1.1060330831866694,1.0003800434220746,0.00018998561009874016,0.11403264432739027,0.046059903863223096
27,0.5456191019902163,0.10786489563662795,1.335943950142493,0.08074058468174673,-0.8505828580391523,0.11403264432739027,0.046059903863223096
28,0.03146476106648899,1.6053396003520612,1.3497471198666433,1.1893632345809202,0.08649237896694116,0.11403264432739027,0.046059903863223096
29,0.17587906041697418,0.9071501020806356,0.8977264631924844,1.0104972274668482,0.005221209621456851,0.11403264432739027,0.046059903863223096
30,0.7550692880063861,1.107478497999218,0.8638047774432916,1.282093508762333,0.12361172216667002,0.11403264432739027,0.046059903863223096
31,-0.17695126144421022,1.2690339522124616,1.5032676948823875,0.8441836118289656,-0.08449071294795776,0.11403264432739027,0.046059903863223096
32,0.5596271320869735,1.0321784942517367,0.6805905343286909,1.5165924916489215,0.20527458989274383,0.11403264432739027,0.046059903863223096
33,0.0679761050980559,1.0897956575058665,0.062345144475099035,17.480040613646445,0.8917751296224382,0.11403264432739027,0.046059903863223096
34,0.1748915714887161,0.9047647959341891,1.062285142085557,0.8517155706019157,-0.08007948507390998,0.11403264432739027,0.046059903863223096
35,0.0799452792857831,0.6178711024368664,1.1212409984509153,0.5510600337393602,-0.2894407414891767,0.11403264432739027,0.046059903863223096
36,-0.11543661559635707,1.3202053880721252,2.651039333098639,0.49799539810241866,-0.3351175861642278,0.11403264432739027,0.046059903863223096
37,-0.251822434304831,1.0755576192181022,0.45118797844994585,2.383834832902223,0.40895460364936365,0.11403264432739027,0.046059903863223096
38,0.21667026065397116,0.99915954126719,0.9695673142370037,1.0305210650097494,0.015031149164972724,0.11403264432739027,0.046059903863223096
39,0.2550355027475604,0.5316795733639567,0.8217310661205125,0.6470238199383535,-0.21431152105234352,0.11403264432739027,0.046059903863223096
40,-0.4804667336438311,0.847547752525479,1.1069920108243136,0.7656313182365182,-0.13273930935743805,0.11403264432739027,0.046059903863223096
41,-0.06611966557192661,1.0902962170107444,0.6412135369098063,1.7003636920447707,0.25935902416018647,0.11403264432739027,0.046059903863223096
42,0.8359972669702562,1.3484338049751,1.4268607154254977,0.9450353425506177,-0.028258950491153317,0.11403264432739027,0.046059903863223096
43,0.24638951198476894,1.0845870873041104,1.054027648777233,1.0289930141408528,0.014289361244586796,0.11403264432739027,0.046059903863223096
44,0.1558040127436408,0.9939582187011877,0.5906116143979891,1.682930363150151,0.2545464364382475,0.11403264432739027,0.046059903863223096
45,0.06712354837664253,1.0729721684804885,0.8062826871979168,1.3307642412713458,0.1419123545040173,0.11403264432739027,0.046059903863223096
46,0.49711534040706684,0.9245840140402021,1.0074875673163042,0.9177125793245724,-0.04290915206042866,0.11403264432739027,0.046059903863223096
47,0.2433445608560046,0.9016784722901049,0.9621468547305742,0.9371526475983346,-0.03244315954065041,0.11403264432739027,0.046059903863223096
48,0.4823304314674025,1.1473682398270242,0.9658622637653651,1.1879211797268892,0.08589028776227763,0.11403264432739027,0.046059903863223096
49,-0.38103508213207377,0.9780193138745084,1.0315865810260625,0.9480729314070547,-0.02665560809084799,0.11403264432739027,0.046059903863223096
50,0.4861703956836117,1.1754489431148858,0.4819360241980838,2.4390144834437977,0.41843804100669457,0.11403264432739027,0.046059903863223096
51,-0.2842646920977786,1.1602267722941217,0.941334747382832,1.2325336714900166,0.10415684854414022,0.11403264432739027,0.046059903863223096
52,-0.559499369610804,1.0654462406363412,0.2715990463304555,3.9228644394284298,0.5937324651928605,0.11403264432739027,0.046059903863223096
53,0.0303351423666873,1.059165696887161,0.4870818887101779,2.174512584916103,0.3699820219642306,0.11403264432739027,0.046059903863223096
54,-0.2456745193933309,0.698176949270137,1.0268689613379833,0.6799085137014471,-0.19054102273242338,0.11403264432739027,0.046059903863223096
55,-0.039735406141354984,0.028446349437853697,1.3174182448681524,0.021592496952764627,-0.9577277691103822,0.11403264432739027,0.046059903863223096
56,-0.8934949181703677,1.0987030917105,0.2755837978416009,3.9868203439812597,0.5989428409206218,0.11403264432739027,0.046059903863223096
57,-0.7574423887754325,1.100004049148022,2.556899388378663,0.43021014207567526,-0.3983959008268485,0.11403264432739027,0.046059903863223096
58,0.025754974223504118,0.8819059734132385,1.1694348145810805,0.7541300826830645,-0.14016629652688312,0.11403264432739027,0.046059903863223096
59,-0.7642796395385032,1.0994778664396971,0.522304722231608,2.105050595253944,0.3558881124014286,0.11403264432739027,0.046059903863223096
60,0.023551177355300434,1.0785721494447973,0.5917170692227565,1.8227835659020641,0.29147950832738423,0.11403264432739027,0.046059903863223096
61,-0.5128753648331541,0.997423024477117,0.2948517804448134,3.3827946467510617,0.5436701554157468,0.11403264432739027,0.046059903863223096
62,0.03994383814561875,2.979325303403185,1.386742059274564,2.148435091785987,0.36476378210333205,0.11403264432739027,0.046059903863223096
63,-0.09080500015138662,0.8700700393729932,1.0851841492573646,0.8017717914214058,-0.1100184882022666,0.11403264432739027,0.046059903863223096
64,0.33243218943269054,0.9753411875758223,0.7026589483509824,1.388071965586419,0.1625043010345572,0.11403264432739027,0.046059903863223096
65,-0.26320470749540203,1.0085105222318986,0.6734607019274845,1.4975046344114573,0.19920068517918096,0.11403264432739027,0.046059903863223096
66,-0.11510327025040334,1.010394449274782,0.7020164186768463,1.4392746699254193,0.18008413539598409,0.11403264432739027,0.046059903863223096
67,0.25428652895029435,0.9062485181240345,1.0699423941713027,0.8470068323866162,-0.08283302743106717,0.11403264432739027,0.046059903863223096
68,0.038718387977523236,1.412745496574776,1.1018662286513035,1.2821388475647448,0.123629133199639,0.11403264432739027,0.046059903863223096
69,0.37628584337645077,1.4464539058198784,1.251258483078636,1.1559992802285115,0.07235590552366818,0.11403264432739027,0.046059903863223096
70,-0.5497607998126315,1.1641980756612877,7.245879902290803,0.16067035216703812,-0.723142144766382,0.11403264432739027,0.046059903863223096
71,0.04859849745583178,1.1300467582842655,6.996345129861905,0.1615195844843076,-0.721882288267932,0.11403264432739027,0.046059903863223096
72,-0.840817023032296,0.9082186020178896,1.5063081370137263,0.6029434348126411,-0.24770466415934672,0.11403264432739027,0.046059903863223096
73,-0.2536044971699963,0.8111716793649536,1.2127322413379893,0.6688794539422248,-0.1984089056131514,0.11403264432739027,0.046059903863223096
74,-0.11673783486094286,1.179799292008073,0.7055243628920942,1.6722304062898028,0.25156154376095247,0.11403264432739027,0.046059903863223096
75,0.08397240954274088,1.0148317854863274,1.0471050521911858,0.9691785779867147,-0.01565191819415484,0.11403264432739027,0.046059903863223096
76,-0.46801048631684733,0.9682607560667345,1.1860795195168894,0.8163539966193053,-0.10110694485858109,0.11403264432739027,0.046059903863223096
77,-0.18129374742304644,1.0317000175553388,0.8404730947977606,1.227522955749541,0.10214168844521357,0.11403264432739027,0.046059903863223096
78,-0.41939496632866546,0.9237748887718704,0.7774908855095459,1.1881488336230024,0.08598539127375686,0.11403264432739027,0.046059903863223096
79,-0.10907728980505121,1.2438860176555464,1.8742585432402648,0.6636683194755093,-0.20216270069384357,0.11403264432739027,0.046059903863223096
80,0.14221256510346889,0.9805511441103233,0.8473371509863998,1.1572148618382772,0.07287862911601035,0.11403264432739027,0.046059903863223096
81,-0.09054930180677839,0.8383165122993206,1.0375651730457733,0.8079651612029669,-0.10621600621346865,0.11403264432739027,0.046059903863223096
82,0.39505843420646936,1.3154208577795568,0.984833522283402,1.335678394383175,0.1437177289439452,0.11403264432739027,0.046059903863223096
83,-0.36446792979781834,0.9822891530764851,0.22066271516125505,4.451541133055487,0.63313126486959,0.11403264432739027,0.046059903863223096
84,-0.008323945831326729,1.0238549362385978,0.6205606087859582,1.6498870887728112,0.24525086050945347,0.11403264432739027,0.046059903863223096
85,-0.29818619641328564,0.813268025881774,1.2602900487648798,0.6453022672662968,-0.21558210900799837,0.11403264432739027,0.046059903863223096
86,-0.8098922146387948,1.128098907875427,3.2593566862009227,0.3461109097543979,-0.4857616749905097,0.11403264432739027,0.046059903863223096
87,-0.05005280424495609,1.1313318659799507,0.5390361183865578,2.098805307080633,0.35458997845775164,0.11403264432739027,0.046059903863223096
88,-0.3039602352721851,1.1435901588998023,0.20358675319429584,5.617213010921118,0.6977579538856815,0.11403264432739027,0.046059903863223096
89,-0.8037489181984908,1.0825083203750325,2.119598271663443,0.5107139097282705,-0.3238773980437267,0.11403264432739027,0.046059903863223096
90,-0.2904129547156904,0.5206301112335084,1.1254227152003307,0.4626084974127887,-0.3674199237437193,0.11403264432739027,0.046059903863223096
91,0.03372710836131479,0.927431976802038,0.9806326864554326,0.9457485862044451,-0.0278820265779367,0.11403264432739027,0.046059903863223096
92,-0.06481208901726687,1.843561968541401,1.4292130292926508,1.2899140511282148,0.12660477409013543,0.11403264432739027,0.046059903863223096
93,-0.5609891074575756,0.8565071572970077,0.9909450893185651,0.8643336210335635,-0.07276936779706607,0.11403264432739027,0.046059903863223096
94,-0.5159720636837516,1.1454089665823932,1.2888935424804226,0.8886761620181695,-0.058942787662495874,0.11403264432739027,0.046059903863223096
95,-0.5492951704864768,1.0767146539912533,5.156426683211201,0.20881023238373922,-0.6545194162162769,0.11403264432739027,0.046059903863223096
96,-0.07866458585283481,1.9489963263863848,1.394041844935481,1.3980902606802237,0.1660030346681037,0.11403264432739027,0.046059903863223096
97,-0.5102501928841414,2.1250182087960683,1.0628908348715413,1.9992817127366556,0.33317367571511475,0.11403264432739027,0.046059903863223096
98,-0.34614965920343477,1.131627961433291,4.770118148236072,0.2372326903163845,-0.616510795142627,0.11403264432739027,0.046059903863223096
99,-0.6631826978892028,0.9747002334623951,0.3742053576434484,2.6047201451041424,0.4451719080845465,0.11403264432739027,0.046059903863223096
