range,impr_color_deg,impr_shape_deg,impr_color_shuf_mean_or_single,impr_shape_shuf_mean_or_single,impr_color_shuf_sem,impr_shape_shuf_sem
0.02,5.224883416117952,2.806412662720305,0.07283488566548053,0.287754105935299,0.05604598568635915,0.04219341243608467
0.04,10.978789090137287,6.4183431161831095,0.6932937569409607,0.7837799205536768,0.14252878420625284,0.09424717445589423
0.06,14.850793627937481,10.232834738676772,1.629135342677952,1.3994896440415456,0.21969907288582732,0.1509102672184009
0.08,17.600693581173353,14.14184195227223,2.743057890214727,2.1028950565424047,0.28616198548835736,0.2104321901462297
0.1,19.585686670748235,18.16472879710021,3.8995590599726855,2.8723219815807806,0.35139333302353154,0.2710909405405982
0.14,21.915573393069113,26.4996716472021,5.98021213142956,4.462411676459337,0.471166714097114,0.3942974754505932
0.18,22.777808522149698,34.57606106462963,7.525121457967853,5.9191253409248,0.5679124992544892,0.5189268374289625
0.2,22.997476207238826,38.16778093948721,8.111075257781467,6.617850452704684,0.6247858586461496,0.5762493804807192
0.22,23.18212001991997,41.34468265514435,8.633672547460261,7.295423068337065,0.6932407398094501,0.6271463277329998
0.25,23.43005622051361,45.085962052480006,9.382435765877535,8.1987811675009,0.8116818871568374,0.6779805711128924
